role_key,role,direct_weight_pct,ablation_mode,horizon_days,usable_days,mean_return_contribution_pct,mean_return_contribution_bp,contribution_ci_low_bp,contribution_ci_high_bp,mean_crash_rate_reduction_pct_points,crash_reduction_ci_low_pct_points,crash_reduction_ci_high_pct_points,mean_names_replaced_in_top20,days_with_any_top20_change_pct
volume_price,Volume-Price Analyst,14.000000000000002,full_path,1,296,-0.009428378378378371,-0.9428378378378371,-3.1769179898648665,1.4327383445945951,0.05067567567567568,-0.08445945945945946,0.16934121621621584,0.5540540540540541,38.85135135135135
candlestick,Candlestick Pattern Analyst,8.0,full_path,1,296,0.0014067736486486626,0.14067736486486626,-0.8893578124999981,1.29220620777027,-0.016891891891891893,-0.08445945945945946,0.033783783783783786,0.16891891891891891,13.175675675675674
overheat,Overheat Auditor,11.0,full_path,1,296,-0.008360135135135126,-0.8360135135135126,-2.766705152027026,1.0604817145270269,-0.03378378378378376,-0.13513513513513511,0.06756756756756759,0.6114864864864865,31.41891891891892
risk,Risk Manager,18.0,full_path,1,296,-0.02423947635135135,-2.4239476351351352,-6.344387077702707,1.5790785895270283,0.23648648648648649,-0.033783783783783834,0.5236486486486486,2.0,75.33783783783784
zhuge_orion,Zhuge Orion,0.0,full_path,1,296,-4.4679054054052694e-05,-0.0044679054054052696,-0.19203547297297277,0.17863175675675616,0.0,0.0,0.0,0.006756756756756757,0.6756756756756757
chair,Final Portfolio Chair,5.0,full_path,1,296,-0.0005963006756756623,-0.059630067567566225,-0.698886739864865,0.7098571368243274,-0.016891891891891893,-0.05067567567567568,0.0,0.0472972972972973,4.391891891891892
market_regime,Market Regime Judge,9.0,full_path,5,292,-0.033857260273972546,-3.3857260273972547,-7.8381315924657455,1.644866652397272,-0.0684931506849315,-0.18835616438356165,0.05136986301369863,0.4041095890410959,28.08219178082192
trend,Trend Follower,18.0,full_path,5,292,-0.11671304794520546,-11.671304794520546,-21.27153142123287,-2.972126327054794,-0.06849315068493149,-0.30821917808219174,0.17123287671232879,1.452054794520548,64.38356164383562
livermore,Livermore Breakout Trader,17.0,full_path,5,292,-0.03274864726027392,-3.274864726027392,-8.75449315068492,1.4902404537671292,0.017123287671232876,-0.10273972602739725,0.136986301369863,0.3595890410958904,27.397260273972602
volume_price,Volume-Price Analyst,14.000000000000002,full_path,5,292,-0.038142345890410954,-3.8142345890410954,-9.801168065068481,2.183440839041093,0.0684931506849315,-0.08561643835616438,0.2226027397260274,0.547945205479452,38.35616438356164
candlestick,Candlestick Pattern Analyst,8.0,full_path,5,292,-0.026156934931506812,-2.6156934931506814,-5.2046564640410855,-0.2818550941780824,-0.017123287671232876,-0.10273972602739725,0.0684931506849315,0.17123287671232876,13.356164383561644
overheat,Overheat Auditor,11.0,full_path,5,292,-0.007252020547945211,-0.7252020547945212,-6.402669049657536,5.264418964041083,-0.017123287671232876,-0.17123287671232876,0.136986301369863,0.6198630136986302,31.84931506849315
risk,Risk Manager,18.0,full_path,5,292,-0.15306974315068494,-15.306974315068494,-26.54444550513699,-5.237406506849323,0.136986301369863,-0.10273972602739725,0.3767123287671233,1.976027397260274,75.0
zhuge_orion,Zhuge Orion,0.0,full_path,5,292,0.0008649143835616544,0.08649143835616543,-0.2940924657534231,0.5535667808219196,0.0,0.0,0.0,0.00684931506849315,0.684931506849315
chair,Final Portfolio Chair,5.0,full_path,5,292,-0.004929623287671239,-0.4929623287671239,-1.316363056506851,0.3055674229452065,-0.03424657534246575,-0.08561643835616438,0.0,0.04794520547945205,4.4520547945205475
